tweet_tokens,pos_tags,label
@David_MD1 free trial of NBA league pass until nov 7th check it out on http://t.co/slVLa2Ky,@ A N P ^ ^ N P ^ $ V O T P U,neutral
"OpenStack is powering production clouds . In this General Session at the 11th International Cloud Expo , Nebula CE ... http://t.co/go7yARJu","N V V N N , P D ^ N P D A N ^ ^ , ^ ^ ~ U",objective
"1 day left ! Time is ticking down ... Tonga should start getting worried ('',) . Just kidding , may the best team win!!!('' , ) tomorrow . Go BLACKs","$ N V , N V V T , ^ V V V A E , R V , V D A N V , , N , V N",positive
Don't miss Plies at Belo Nightclub on Saturday 10/6 with Z 90.3 | San Diego !! Get your tickets now - ... http://t.co/hje8AvTl,"V V ^ P ^ ^ P ^ $ P ^ $ G ^ ^ , V D N R , ~ U",positive
Apparently there is an Office for the Feast of Blessed Pope John Paul II which is on Monday ; http://t.co/wwIkKDk6 #WIN #Catholic #prayer,"R X V D N P D N P ^ ^ ^ ^ ^ D V P ^ , U # # #",positive
I want to see EB but idk don't look to good guess ill call it a netflix night .,"O V P V ^ & L V V P A N L V O D ^ N ,",neutral
David Miliband on #BBCQT ! This is going to be a wild Thursday night !,"^ ^ P ^ , O V V P V D A ^ N ,",positive
Just found out ill be playing at the same tournament with UT as my brother with his h.s. in february in new orleans during mardis gras .,"R V T L V V P D A N P ^ P D N P D N P ^ P A ^ P ^ N ,",neutral
@EMMASTANIS I'm in Hawaii at the moment . Home next Friday night . Don't want to come home .,"@ L P ^ P D N , N P ^ N , V V P V N ,",negative
@MyGoldMusic can you play wah wah or bware of darkeness by george harrison tomorrow please :),@ V O V ! ! & N P N P ^ ^ N V E,positive
@chuckydbaby @ryandepouw11 Lorenzo Brown over Taylor any day of the week . 6'5 with just as good if not better skill set,"@ @ ^ ^ P ^ D N P D N , $ P R R A P R A N N",positive
"Before you make plans for this Friday night , check out this event benefitting Bolder Options Rochester . It'll be ... http://t.co/gRJVHwqy","P O V N P D ^ N , V T D N V A N ^ , L V ~ U",neutral
"GBU PM ready for reply on coal blocks : Congress : New Delhi , Aug 22 ( IANS ) With the Bharatiya Janata Party ( BJP ) ... http://t.co/Nf9Nqdaa","! N A P V P N N , ^ , A ^ , ^ $ , ~ , P D ^ ^ N , ^ , ~ U",positive
"Ha RT @fauxjohnmadden : Start of NFL Preseason tonight marks the beginning of the Raiders season , and the end of Raiders postseason hopes .","! ~ @ ~ V P ^ N N V D N P D ^ N , & D N P ^ ^ V ,",positive
happy 15th anniversity kuya gloc9 you are number 1 rapper and francis M . .........,"A A N ^ V O V N $ N & ^ ^ , ,",objective
@KingSwaGGyy yeaa im still lookin smh ... may have to go to the adidas store . The asian dudes wear em 24/7 .,"@ ! L R V G , V V P V P D ^ N , D A N V O R ,",neutral
"@AllieJayHey I hope all your loved ones back in Maryland are okay ! I didn't see you , Wednesday . :)","@ O V D D V N R P ^ V ! , O V V O , ^ , E",positive
"A Red Carpet for Radicals at the White House by Steve Emerson and John Rossomando IPT News October 21 , 2012 A ... http://t.co/kGcWHS9J","D A N P N P D ^ ^ P ^ ^ & ^ ^ ^ ^ ^ $ , $ N , U",neutral
Another NCA football coach needs lessons in PR 101 . #1 Don't make matters worse by trying to intimidate the media . http://t.co/h38PQFG6,"D ^ N N V N P N $ , $ V V V A P V P V D N , U",negative
RSVP for the Annual Dinner closes this Monday ! Be sure you register via the website ASAP :) http://t.co/UFwG2rlC,"V P D A N V D ^ , V A O V P D N R E U",positive
"Thank you "" Happiest Baby on the Block "" . I may sleep a couple hours tonight due to your teaching !","V O , A N P D N , , O V V D N N R A P D N ,",positive
cried for every episode of Dream High 2 starting from episode 13 !!! T-T tomorrow i shall watch the last and final episode !,"V P D N P ^ ^ P V P N $ , , N O V V D A & A N ,",positive
@HuntingLife Thanks for the follow . You may need a super rope cinch for hunting . Ted Nugent loves it . Check out http://t.co/R1L15LGN .,"@ N P D N , O V V D A N N P N , ^ ^ V O , V T U ,",neutral
1st I thought he was David Ruffin impersonator . Then I thought he was a backup singer for Miguel . Sn : Your c http://t.co/RkFuDgPP,"A O V O V ^ ^ N , R O V O V D N N P ^ , G , D N U",neutral
"I feel like a kid before xmas , i cannot wait to get oneRT @NokiaKnowings : In case you missed it ... Nokia N9 release date http://t.co/VjvQpHF","O V P D N P ^ , O V V P V ~ @ ~ P N O V O , ^ ^ N N U",positive
@RockstarGames Bring GTA3/Vice City 10th Anniversaries to the PS Vita !,"@ V ^ ^ $ N P D N ^ ,",neutral
Gov . Mitch Daniels will announce his Indiana Supreme Court pick at 10 a.m. Will the 3rd time be the charm for a female member of the panel ?,"^ , ^ ^ V V D ^ ^ ^ V P $ N V D A N V D N P D N N P D N ,",neutral
"Check this video out -- Obama , Sarkozy , Cameron , how many children did you kill this night ? http://t.co/AvYCIQJ via @youtube","V D N T , ^ , ^ , ^ , R A N V O V D N , U P @",negative
National Bieber Day in all the countries <3,^ ^ N P X D N E,negative
"US Secretary of State Press Availability on the London Conference : LONDON , United-Kingdom , February 24 , 2012/Afr ... http://t.co/5R2M4BQb","^ N P ^ ^ N P D ^ N , ^ , A , ^ $ , $ ~ U",objective
R . I . P Runako Morton . Sad day for West Indies cricket .,"N , O , G ^ ^ , A N P ^ ^ N ,",positive
V-P nominee Jaswant likely to meet Jayalalithaa on August 6 : ' Some of our leaders are also in touch with ... http://t.co/UYVk8Rv4 #india,"^ N ^ A P V ^ P ^ $ , , D P D N V R P N P ~ U #",objective
RT @ZaidJilani : The brilliant Drew Westen offers a great critique of the Obama presidency : http://t.co/DOBUyVU,"~ @ ~ D A A ^ V D A N P D ^ N , U",positive
' Clockwinder-who wouldn't say no ' . Launch at the Commons on Tuesday . The biog of the late David Taylor is the untold story of a virtuous MP .,", ^ V V ! , , N P D N P ^ , D N P D A ^ ^ V D A N P D A ^ ,",positive
Don't know why I'm just now realizing that FFFFest is tomorrow . Someone ( besides @EliW92 ) get on stage and dutty wine with Santigold for me .,"V V R L R R V D N V N , N , P @ , V P N & A N P ^ P O ,",neutral
"Yesterday is the day the atomic bomb in Japan . I embarrassed as a Japanese , was a moment of silence for the first time .","N V D N D A N P ^ , O V P D A , V D N P N P D A N ,",neutral
@jenscibs they canceled the Frankie date that was supposed to be tomorrow . So now everyone is going to the rescheduled show in South Bend .,"@ O V D ^ N P V A P V N , R R N V V P D A N P ^ ^ ,",negative
"If you're on the Isle of Man next Thurs , I'll be talking about Safe House and signing books at Waterstones from 6.30 pm . @WaterstonesIoM","P L P D ^ P ^ A ^ , L V V P ^ ^ & V N P ^ P $ N , @",objective
"Attending the World Music Festival ? Bring in your ticket and receive a wrap and drink for only $5 ! Fri , Sept 21 ; Mon , Sept 24-Thurs , Sept 27","V D ^ ^ ^ , V P D N & V D N & V P A $ , ^ , ^ $ , ^ , ^ $ , ^ $",objective
"Bure's 1st game as a NYR at MSG against VAN . Lost 3-1 , Bure had the lone goal . Know who had a hat trick for VAN ? Todd Bertuzzi #realtalk","Z A N P D N P N P ^ , V $ , ^ V D A N , V O V D N N P ^ , ^ ^ #",neutral
Going to 2nd Annual Kick-Out Hate Kickball Tournament on the soccer field right now !,"V P $ A N V ^ N P D N N R R ,",neutral
Let's end my Friday madness set with some vintage Francis M . #coldsummernights,"L V D ^ N V P D N ^ ^ , #",positive
@agiamba Capello had a draw in his 4th game with Juve in the Serie A ( 2004/2005 ) .,"@ ^ V D N P D A N P ^ P D ^ ^ , $ , ,",neutral
RT @BnardWilliams Good Morning World ... I'm pleased to inform you that the Carter IV will not be like Watch The Throne ..,"~ @ A N N , L A P V O P D ^ ^ V R V P V D N ,",positive
"@jeromepugmire 2nd half in @TSL_leMag match with Pires : he takes me out from behind , only yellow card of game . 10 "" scar still proud on calf","@ $ N P @ N P ^ , O V O T P P , R A N P N , $ , N R A P N",positive
"I liked a @YouTube video http://t.co/HD89je4i Anonymous - Remember , Remember the 5th of November","O V D @ N U A , V , V D $ P ^",positive
@piersmorgan @LennoxLewis @realDonaldTrump Quote of the night- If I were Amarosa I would go to Brooklyn bridge and be drowning myself #funny,@ @ @ N P D N P O V P O V V P ^ N & V V O #,positive
"CONTINUED ASSAULT - Indianapolis faces a tough Miami defense this Sunday , one that ranks third in the league in yard ... http://t.co/iqUfA3Ic","V N , ^ V D A ^ N D ^ , $ P V A P D N P N , U",neutral
@badassday I love NZ was there in Feb have friends with vineyard which is useful !! In Nelson lovely part of NZ !,"@ O V ^ V R P ^ V N P ^ D V A , P ^ A N P ^ ,",positive
DEPARTURE of ship : AMS 111 Port : ABU DHABI Time : Nov 2 2012 4:47 AM ( UTC ) ( Time of arrival/departure is the time the vessel approa ...,"N P N , ^ $ N , ^ ^ N , ^ $ $ $ N , N , , N P N V D N D N G ~",objective
@ElmStreetBrat's account is temporarily unavailable because it violates the Twitter Media Policy . Learn more .,"Z N V R A P O V D ^ ^ N , V A ,",negative
I hope Melissa McCarthy gets an Emmy tonight .,"O V ^ ^ V D ^ N ,",positive
"When "" columbus "" shoots Bill Murray in zombieland it may be one of the funniest things ever .","R , ^ , V ^ ^ P ^ O V V $ P D A N R ,",objective
Be here TONIGHT at 6pm to see the UFC Middleweight Championship fight between Anderson Silva and Yushin Okami for FREE ! http://t.co/Sw4FFii,"V R R P $ P V D ^ ^ ^ N P ^ ^ & ^ ^ P A , U",positive
Yesterday Judge Pastor ruled there will be no more delays in the Conrad Murray manslaughter trial . He also stated ... http://fb.me/WmCs1xtW,"N N N V R V V R A N P D ^ ^ N N , O R V ~ U",objective
"ESPN- Indians fire manager Acta with six games left : The Cleveland Indians fired manager Manny Acta on Thursday ,... http://t.co/JPMbt9Cy","^ ^ ^ N ^ P $ N V , D ^ ^ V N ^ ^ P ^ , U",objective
"Mark Montgomery , David Adams and Austin Romine have been selected to play in the Arizona Fall League Rising Stars game on Sat . #Yankees","^ ^ , ^ ^ & ^ ^ V V V P V P D ^ ^ ^ V ^ N P ^ , #",neutral
I miss one day & it seems like they're about to give me ISS tomorrow . #wtf #pt,"O V $ N & O V P L P P V O V N , # #",positive
it's not too late to join us at LIPA 4:19 come along to our first session tomorrow to try it out . 9.30 am at the Joseph Wright centre in ...,"L R R A P V O P ^ $ V R P D A N N P V O T , $ V P D ^ ^ N P ,",neutral
"Happy 3rd Monthsary #Loverss ! :) Salamat sa pag support ky Ate @deniessejoaquin :) All for Deniesse , All for the Love . http://t.co/fSMBsxu5","A A N # , E ^ G G V ^ V @ E D P ^ , X P D N , U",positive
@ArronOHare Hi matey appreciate you passing on my biz cards around work ! We have enough food until Friday in the Turner house !,"@ ! N V O V P D N N P N , O V A N P ^ P D ^ N ,",positive
"@kinagrannis Two Birthday Cakes ! One with Jelly Beans ! I wonder what kind of Birthday Cake the 2nd one was ? Goodnight Kina , Emi , and Misa .","@ $ N N , $ P ^ ^ , O V O N P N N D A $ V , ! ^ , ^ , & ^ ,",neutral
Come and check out UFC 134 this Saturday Night at Wings U at 8pm ! Anderson Silvia Vs . Yushin Okami for the World Middle Weight Championship !,"V & V T ^ $ D ^ N P N O P ^ , ^ ^ ^ , G ^ P D ^ ^ ^ ^ ,",positive
My Yahoo Scoreboard is already showing the Lions game vs Cincinnati on Friday . #areyoufreakingkiddingme,"D ^ N V R V D ^ N P ^ P ^ , #",positive
Wish I was going to the rodeo tomorrow night with everyone :( stupid surgery,V O V V P D N N N P N E A N,negative
NBA playoffs TODAY !!!!!! the Heat Vs Knicks series is going to be crazy ! luckily #celticnation don't play till sunday LETS GO CELTICS !!!!,"^ N N , D ^ ^ ^ N V V P V A , R # V V P ^ L V ^ ,",positive
Congrats to Ryder Cup Captain @Love3d for his 6 under 64 in Thursday's opening round of the Honda Classic . Keep it going !,"! P ^ ^ ^ @ P D $ P $ P Z V N P D ^ ^ , V O V ,",neutral
"@tendersociety Pancake mix /does/ keep for a long time ! ( Pancakes tomorrow morning , then build a quake kit for #ShakeOut day ? )","@ ^ N V V P D A N , , N N N , R V D N N P N N , ,",neutral
"@PhilKitro What have you got for tomorrow ? I have over 2.5 in Espanyol - Bilbao , Sociedad to win and Osauna - 0.25 .","@ O V O V P N , O V P $ P ^ , ^ , ^ P V & ^ , $ ,",positive
.. just finished watching the 4th season of Dexter . #RelaxedTweet,", R V V D A N P ^ , #",positive
"@FAOnews In Somalia , the people are still waiting from the int'l community strategy to develop food and agriculture after London Conference","@ P ^ , D N V R V P D N N N P V N & N P ^ N",objective
Who wants to to a Knoxville ice bears hockey game with me November 9 ? #yaknowyawanna,"O V P P D ^ N N N N P O ^ $ , #",positive
"#UNIVB has its biggest weekend of the season ( so far ) starting tonight ! Missouri State @ 7pm , Wichita State tomorrow @ 8:30 pm","^ V L A N P D N , R R , V R , ^ N P $ , ^ ^ N P $ N",objective
"Second last show of the season , 19th annual Gift of Art , with the artists of the #kanata Civic #art #gallery . Stop in ! http://t.co/BkQnxEC0","A A N P D N , $ A N P ^ , P D N P D ^ ^ # # , V P , U",neutral
"So can't believe Big Bang is tomorrow , this day came way too soon ! At least I can live it again Sat . night !! ^_^","P V V A N V N , D N V N R R , P A O V V O R ^ , N , E",negative
SPECIAL Conference Call tomorrow the 7th at 7:30 PST - 10:30 EST Featuring Doug Wead ! Doug is going to give us a ... http://t.co/TZf81PDW,"A N N N D N P $ N , $ N V ^ ^ , ^ V V P V O D ~ U",positive
"Looking for some free fun ? Come to @AbronsArtsCtr Friday to see the classic camp films "" Cobra Woman "" & "" Jungle Island . "" http://t.co/WaxQdXuW","V P D A N , V P @ ^ P V D N N N , ^ N , & , ^ ^ , , U",positive
Going to ace tomorrow's paper with no mercy at all,V P V S N P D N P D,positive
Awesome response guys ! The correct answer is : Sam Gagner and Brendan Smith . All of you will be put into the draw this coming Thursday ! #JT,"A N N , D A N V , ^ ^ & ^ ^ , D P O V V V P D N O V ^ , #",positive
Holy shit was it Social Justice Sunday on tumblr or something because wow #stayingthefuckawayfromtumblrSJ,A N V O A N N P ^ & N P ! #,positive
@Shabelyyy Aki ta junior saying he inviting Max tomorrow lol to chill in the house,@ ^ P N V O V ^ N ! P V P D N,positive
"This new shirt , with a quote from Dr. Seuss , reminds us that weird we may be , but love is just as weird ! http://t.co/KeYnUmMd","D A N , P D N P ^ ^ , V O D A O V V , & N V R R A , U",neutral
@JamieLynnDrohan Will miss ya on the Red Carpet tomorrow !! #Nashville,"@ V V O P D A N N , #",positive
@Swimfanatic454 thanks I am ! :) I saw the hollywood sign today !!!!! And in Disney I got to meet a really hot Aladdin lol :),"@ N O V , E O V D ^ N N , & P N O V P V D R A ^ ! E",positive
@HBBlanks @kaycegilman20 sparks fly by Taylor swift may or may not have been in the background . It was moment I'll never forget lol,"@ @ N V P ^ ^ V & V R V V P D N , O V N L R V !",positive
"Premier League Team of the Week : Van Persie makes cut for 10th time this season as Szczesny , Evans & Ashley Young star http://t.co/fVt3OB1Y","^ ^ N P D N , ^ ^ V N P A N D N P ^ , ^ & ^ ^ ^ U",neutral
"Goodnight , Irene . Al , you are easily amused . This club stinks . I think that the Brewers may upset the apple cart and win the NL pennant .","! , ^ , ^ , O V R A , D N N , O V P D ^ V V D ^ N & V D ^ N ,",negative
@tpolamalu Congrats on the new contract and good luck tomorrow in Bmore ! GO STEELERS !,"@ ! P D A N & A N N P ^ , V ^ ,",negative
The last episode of #Friends just showed tonight . Its leaving E4 for Comedy Central :'( Idk what will now cheer me up when Im down,"D A N P ^ R V R , L V ^ P ^ ^ E L O V R V O T R L R",positive
"Apple software , retail chiefs out in overhaul : SAN FRANCISCO ( Reuters ) - Apple Inc CEO Tim Cook on Monday pushed out the powerful hea ...","^ N , A N P P N , ^ ^ , ^ , , ^ ^ N ^ ^ P ^ V T D A G ~",neutral
Silent House was decent ... now time to watch #Advengers for the 2nd time . Got a #lowkey crush on Iron Man & Thor,"A N V A , R N P V ^ P D $ N , V D N N P ^ ^ & ^",positive
Gregg Williams may never find a job in the NFL again if he's allowed back . Snitchin will make your situation worse !,"^ ^ V R V D N P D N R P L V R , V V V D N A ,",negative
"Come meet members of the "" 1980 Dawgs "" in Athens this weekend at The Red Zone ! Friday , 3pm - 6pm : Coach Vince ... http://t.co/vQ6ykuqC","V V N P D , $ N , P ^ D N P D A N , ^ , $ , $ , N ^ ~ U",objective
scrap my last tweet ! At 5:22 on the 24th for Australian Directioners it will be two years for the boys,"V D A N , P $ P D $ P A N O V V $ N P D N",positive
"It official , I will not be flying to Raleigh , NC tomorrow . I'm saddened . I pray my UPPC family has an awesome time in the LORD . #Praying","O A , O V R V V P ^ , ^ N , L A , O V D ^ ^ V D A N P D N , #",negative
"- Joseph Prince ( FB ): When your problems were in your hands , the weight and the burden may have crushe ... When you ... http://t.co/ZnKsuOPt",", ^ ^ , ^ , R D N V P D N , D N & D N V V N , R O , U",positive
"Afghans protest against French cartoons , US film : Hundreds of Afghans on Thursday protested for the first time a ... http://t.co/72mtIYlV","^ N P ^ N , ^ N , N P ^ P ^ V P D A N D ~ U",negative
Boogie song of the day ... Oh Ricky Martin : Que Mas Da Happy Sunday 2 everyone recovering from Halloween party hangovers https://t.co/JenBt7uJ,"N N P D N , ! ^ ^ , ^ ^ ^ A ^ $ N V P ^ N N U",neutral
well ... i wanted to go to the black forest tomorrow and take pics of the leaves . now i'll have to take pics of the snow . #thanksweather,"! , O V P V P D A N N & V N P D N , R L V P V N P D N , #",negative
MICCA Tomorrow . My support for the Marching Band is ridiculous . #needstostop #butilovethemsomuch #Itssoearly #EyesWithPride #maybenextyear,"^ N , D N P D N N V A , # # # # #",negative
"Finally starting the 5th season of #Dexter . See ya later , weekend !","R V D A N P ^ , V O R , N ,",positive
Amazon has deals on Home Theater items on during the countdown to Black Friday . http://t.co/u84VkEEo,"^ V N P N N N P P D N P ^ ^ , U",neutral
@misterhsk Did you know that David Miliband was a Yum Junglist ? Catch @YumJungle @streetfeastldn this Friday night . http://t.co/IB0AtI0o,"@ V O V O ^ ^ V D ! ^ , V @ @ D ^ N , U",neutral
Looking forward to preaching at Plant City's First Baptist Sunday @ 6:30 pm . New City Church will be baptizing 2 into the Kingdom . Praise God,"V R P V P ^ Z A N N P $ N , A N N V V V $ P D N , V ^",objective
"@NiallOfficial Huum if you're hungry , come to Tunisia we have delicious food here ! Huum Nialler always eat :o c'mon!","@ ! P L A , V P ^ O V A N R , ! N R V E !",positive
Only 2 non-Chase drivers in the top 10 -- Kyle Busch in 4th and Mark Martin in 8th . #NASCAR,"R P A N P D A $ , ^ ^ P A & ^ ^ P A , #",neutral
@NICKIMINAJ DUBLIN on Monday :D so excited ! also my friends birthday she will be at the concert ... Plzzzz say happy birthday Shauna,"@ ^ P ^ E R A , R D N N O V V P D N , V V A N ^",positive
Pic : Jose Mourinho with Sun mingming ( Chinese Basket ball player & one of the tallest men on earth . ) http://t.co/t7kuQVKr,"N , ^ ^ P ^ ^ , A N N N & $ P D A N P N , , U",positive
@RosiePierri My husband company is bring you all some much needed gas !!! He should be there sometime tomorrow afternoon from FL .,"@ D N N V V O D D A V N , O V V R R N N P ^ ,",positive
"so this friday theres an open mic in ajax we're gunna test out some tunes at . anyone can play , if you wanna experiment with a crowd , holla !","P D ^ L D A N P ^ L V V P D N P , N V V , P O V V P D N , ! ,",neutral
3rd Mariah song of the night and NOOOOOOOOO . THAT WAS SO BAD . #XFactor,"$ ^ N P D N & ! , O V R A , #",negative
@zachbussey that year is to be unspoken of . Remember those rubber bracelets too ? I may or may not have a dog tag with Cannavaro on it ....,"@ D N V P V A P , V D N N R , O V & V R V D N N P ^ P O ,",neutral
"Gonna watch the rest of X Factor tomorrow cause I'm so tired , I just keep crying every time they mention Take That .","V V D N P ^ ^ N P L R A , O R V V D N O V V O ,",negative
Make sure everyone comes out to our first opener practice tomorrow at 6:30 at the Murphy Center in dance studio B !!!,"V A N V T P D A N N N P $ P D ^ ^ P N N N ,",neutral
"RT @pcam : @amish_man He may be that , but Obama spent $239 Billion a day after getting Uncle Sam's Credit Card in his hot little hands , s ...","~ @ ~ @ O V V O , & ^ V $ $ D N P V ^ ^ N N P D A A N , G ~",negative
@paulusbrewer The sun is just waiting for its agent to call to see if it can get the job as the glint in Justin Biebers eye . Sun gets saad .,"@ D N V R V P D N P V P V P O V V D N P D N P ^ ^ N , ^ V ^ ,",negative
World Book Day was Mon and no one gave me a book . No one even gave me back any of the books they've borrowed http://t.co/0NwQBrjH #hinthint,"^ ^ ^ V ^ & D N V O D N , D $ R V O R D P D N L V U #",positive
"just deleted 100 pictures from my phone , realized I look hideous in most , diet starts tomorrow . #goodnight","R V $ N P D N , V O V A P A , N V N , !",neutral
"@GR8Imperfection It's the cool , tasty Ice Cream Sandwich upgrade http://t.co/jwcWIs7E ! It may take some getting used to since it's new . ^TH","@ L D A , A N N N N U , O V V D V V P P L A , G",positive
Especially nice to have Rosedale @DCPL open in the neighborhood while NE Branch at 7th & Maryland is closed for renovations .,"R A P V ^ @ V P D N P ^ ^ P A & ^ V A P N ,",positive
City's excellent peformance today ( apart from defending ) I realised what a tough season it will be for Everton @LordBelgareth @petemeechan,"Z A N N , N P V , O V O D A N O V V P ^ @ @",positive
Headed to Footloose on Sunday in Garner ! Spots left in #TheAnneVan if you wanna tag along #NorthIowaSchoolPlayTour,"V P ^ P ^ P ^ , N V P ^ P O V V P #",neutral
"Hi , Memi ! Thanks for agreeing to lead at SAG ! Would you be available for a Sun ., any Sun , in Dec rather than Nov 4th ? I just learned ...","! , ^ , N P V P V P N , V O V A P D ^ , D ^ , P ^ R P ^ A , O R V ,",positive
Real good game here : Laguna Hills stuns Dana Hills with 4th quarter comeback ( video ) http://t.co/fzDLfnLt,"A A N R , ^ ^ G ^ ^ P A N N , N , U",positive
This may be a fact !! RT @RaheemBrock Curtis painter will help the colts win their first game ! U heard it here first !!!,"D V V D N , ~ @ ^ N V V D N V D A N , O V O R A ,",positive
@JimIrsay that would be Jason Varitek . Pick me as I would love to go to the game Sunday .,"@ O V V ^ ^ , V O P O V V P V P D N ^ ,",positive
